Designator,Mid X,Mid Y,Rotation,Layer
C1,61.214,-65.024,0,bottom
C2,50.8,-67.31,180,bottom
C3,51.308,-72.136,90,bottom
C4,60.706,-71.882,90,bottom
C5,52.832,-73.406,0,bottom
C6,64.77,-72.898,180,bottom
C7,49.022,-66.04,180,bottom
C8,61.976,-71.882,90,bottom
C9,61.468,-55.626,90,bottom
C10,58.309,-58.166,0,bottom
C11,50.8,-60.452,270,bottom
C12,55.896,-54.737,180,bottom
C13,57.785,-59.69,0,bottom
C14,43.053,-59.944,180,bottom
C15,42.799,-54.102,180,bottom
C16,52.197,-51.689,90,bottom
C17,54.372,-50.8,270,bottom
C18,51.054,-51.689,90,bottom
C19,54.864,-49.149,0,bottom
C20,90.932,-55.626,180,bottom
C21,96.774,-54.61,270,bottom
C22,92.202,-60.198,0,bottom
C23,98.298,-62.992,0,bottom
C24,67.31,-42.926,270,bottom
C25,90.424,-64.262,270,bottom
C26,69.088,-42.926,270,bottom
C27,85.344,-71.12,0,bottom
C28,78.994,-73.152,180,bottom
C29,92.964,-55.626,180,bottom
C30,68.834,-148.59,90,bottom
C31,79.756,-91.948,270,bottom
C32,124.46,-91.948,270,bottom
C33,171.958,-149.606,90,bottom
C34,180.086,-91.694,270,bottom
C35,230.378,-92.202,270,bottom
C36,215.392,-149.606,90,bottom
C37,114.046,-149.352,90,bottom
C38,274.32,-91.694,270,bottom
C39,267.462,-149.121,90,bottom
C40,317.246,-148.59,90,bottom
C41,318.262,-87.63,180,bottom
D1,49.276,-88.392,90,bottom
D2,54.102,-107.188,90,bottom
D3,56.388,-127.1905,90,bottom
D4,61.1505,-146.2405,90,bottom
D5,51.6255,-165.2905,90,bottom
D6,68.326,-88.392,90,bottom
D7,77.978,-107.188,90,bottom
D8,82.58175,-127.1905,90,bottom
D9,92.10675,-146.2405,90,bottom
D10,75.438,-165.2905,90,bottom
D11,87.376,-88.392,90,bottom
D12,96.774,-107.188,90,bottom
D13,101.63175,-127.1905,90,bottom
D14,111.15675,-145.796,90,bottom
D15,99.2505,-165.2905,90,bottom
D16,106.426,-88.392,90,bottom
D17,115.91925,-107.188,90,bottom
D18,120.68175,-127.1905,90,bottom
D19,130.20675,-146.2405,90,bottom
D20,170.688,-165.2905,90,bottom
D21,125.476,-88.392,90,bottom
D22,134.96925,-107.188,90,bottom
D23,139.73175,-127.1905,90,bottom
D24,149.25675,-146.2405,90,bottom
D25,239.74425,-165.2905,90,bottom
D26,144.526,-88.392,90,bottom
D27,154.01925,-107.188,90,bottom
D28,158.78175,-127.1905,90,bottom
D29,168.30675,-146.2405,90,bottom
D30,258.79425,-165.2905,90,bottom
D31,163.576,-88.392,90,bottom
D32,173.06925,-107.188,90,bottom
D33,177.83175,-127.1905,90,bottom
D34,187.35675,-146.2405,90,bottom
D35,277.84425,-165.2905,90,bottom
D36,182.626,-88.392,90,bottom
D37,192.11925,-107.188,90,bottom
D38,196.88175,-127.1905,90,bottom
D39,206.40675,-146.2405,90,bottom
D40,296.89425,-165.2905,90,bottom
D41,201.676,-88.392,90,bottom
D42,211.16925,-107.188,90,bottom
D43,215.93175,-127.1905,90,bottom
D44,225.45675,-146.2405,90,bottom
D45,315.94425,-165.2905,90,bottom
D46,218.948,-87.63,90,bottom
D47,230.21925,-107.188,90,bottom
D48,234.98175,-127.1905,90,bottom
D49,244.50675,-146.2405,90,bottom
D50,334.99425,-165.2905,90,bottom
D51,239.776,-88.392,90,bottom
D52,249.26925,-107.188,90,bottom
D53,254.03175,-127.1905,90,bottom
D54,263.55675,-146.2405,90,bottom
D55,258.826,-88.392,90,bottom
D56,268.31925,-107.188,90,bottom
D57,273.08175,-127.1905,90,bottom
D58,289.7505,-146.2405,90,bottom
D59,277.876,-88.392,90,bottom
D60,287.36925,-107.188,90,bottom
D61,304.038,-127.1905,90,bottom
D62,313.69,-145.542,90,bottom
D63,306.324,-88.392,90,bottom
D64,311.404,-107.188,90,bottom
D65,334.99425,-127.1905,90,bottom
D66,334.99425,-146.2405,90,bottom
D67,335.026,-88.138,90,bottom
D68,335.026,-107.188,90,bottom
D69,75.438,-91.948,180,bottom
D73,73.152,-148.59,0,bottom
D74,120.142,-91.44,180,bottom
D75,118.364,-148.59,0,bottom
D76,175.768,-91.694,180,bottom
D77,176.276,-148.59,0,bottom
D78,226.06,-91.948,180,bottom
D79,219.71,-148.59,0,bottom
D80,271.78,-148.59,0,bottom
D81,270.002,-91.694,180,bottom
D82,318.262,-91.44,180,bottom
D83,321.564,-148.59,0,bottom
FB1,65.532,-42.926,270,bottom
J2,52.578,-43.942,90,bottom
J4,82.296,-50.546,90,bottom
J5,82.296,-59.944,90,bottom
L1,53.887,-54.483,0,bottom
L2,52.705,-53.34,180,bottom
L3,54.372,-52.832,90,bottom
R1,62.738,-55.626,270,bottom
R2,57.293,-56.261,270,bottom
R3,48.133,-57.15,270,bottom
R5,75.184,-51.054,270,bottom
R6,90.678,-61.214,90,bottom
R7,42.418,-70.358,90,bottom
R8,94.996,-60.452,0,bottom
R9,99.314,-58.42,0,bottom
R10,93.472,-58.674,180,bottom
R11,93.218,-66.548,90,bottom
R12,91.948,-66.571,90,bottom
R13,90.2716,-54.102,270,bottom
R14,99.314,-52.578,0,bottom
